任务,完成时间¹,工具步骤,模型轮次,未缓存输入,缓存命中,缓存写入,输出,命中率,总成本²
"Amazon--10","76.342","14","12","96310","91482","0","3214","0.48714535230467754","0.03823872"
"Amazon--11","502.692","41","40","627583","331904","0","10977","0.3459181833625677","0.22136153999999997"
"Amazon--12","149.616","27","27","160053","384627","0","7225","0.706152236175369","0.07976351999999998"
"Amazon--13","566.597","61","50","887540","1398001","0","37422","0.6116718098690856","0.39504846"
"Amazon--14","166.044","27","23","269550","239664","0","5830","0.47065477382789944","0.10224084"
"Amazon--15","241.454","20","20","203122","104402","0","5512","0.33949220223462234","0.07381512"
"Amazon--16","169.81","43","43","470776","842645","0","9325","0.6415650427395329","0.20298149999999995"
"Amazon--17","200.63","33","34","386494","667540","0","12064","0.6333192287914811","0.1704774"
"Amazon--18","60.926","18","12","200866","302145","0","5885","0.6006727487072847","0.08545050000000001"
"Amazon--19","216.13","28","27","262622","276608","0","5600","0.5129684921091185","0.10210308"
"Amazon--20","543.375","52","50","709876","452216","0","14644","0.3891395861945526","0.25766856000000005"
"Amazon--21","292.214","45","41","790462","1924236","0","18548","0.7088213863936247","0.37485036"
"Amazon--22","179.69","25","18","269912","294469","0","7926","0.5217556934056958","0.10815294"
"Amazon--23","100.206","23","24","193492","469040","0","5084","0.7079507103053135","0.09229079999999999"
"Amazon--24","179.079","41","33","366592","1784909","0","12607","0.8296110482867542","0.23220054"
"Amazon--25","543.751","46","45","522870","808192","0","16463","0.6071783282822287","0.22510811999999994"
"Amazon--26","149.379","25","26","149302","356978","0","5569","0.7050999446946353","0.07289207999999998"
"Amazon--27","111.935","14","14","113792","211374","0","3887","0.6500495131717339","0.05148444"
"Amazon--28","297.233","29","26","389202","1082112","0","9711","0.7354731892716306","0.19334052"
"Amazon--29","456.09","47","34","835941","1605376","0","19244","0.6575860488416703","0.37019766000000004"
"Amazon--31","187.679","22","20","167619","590336","0","6371","0.778853625874887","0.09335106"
"Amazon--32","211.692","24","20","309168","442112","0","11618","0.5884783303162603","0.13321872"
"Amazon--33","362.459","38","36","622614","498313","0","14684","0.4445543732999562","0.23430378000000004"
"Amazon--34","237.747","28","25","265460","794899","0","12068","0.7496508258052226","0.14181354"
"Amazon--35","101.782","19","15","144770","417873","0","7689","0.7426965233727248","0.07773018000000001"
"Amazon--36","173.844","23","19","176931","217889","0","6379","0.5518692062205562","0.07380744"
"Amazon--37","72.901","14","11","107684","194829","0","4085","0.6440351323744765","0.04889693999999999"
"Amazon--38","73.468","19","15","115407","282451","0","4710","0.7099291707091475","0.05722116000000001"
"Amazon--40","344.779","57","50","734920","1000357","0","11183","0.576482601913124","0.29391702"
"Apple--0","85.914","16","15","64103","90880","0","3347","0.5863868940464438","0.0287001"
"Apple--1","149.519","40","38","200403","387944","0","17760","0.6593795838170331","0.10470953999999999"
"Apple--2","86.937","15","13","155885","281600","0","3675","0.6436792118586923","0.0680715"
"Apple--3","65.65","20","16","86274","192191","0","6072","0.6901800944463398","0.04470006000000001"
"Apple--4","242.329","49","49","493912","571164","0","10229","0.5362659566077914","0.19471824000000001"
"Apple--5","40.019","15","12","35583","140160","0","3690","0.7975282088049026","0.0235125"
"Apple--6","33.61","15","14","39027","113256","0","3251","0.7437205728807549","0.02240466"
"Apple--7","169.654","51","50","468487","241448","0","7682","0.3400987414340749","0.16425137999999995"
"Apple--8","68.538","22","21","127898","179440","0","5142","0.5838523059302787","0.0553062"
"Apple--10","91.041","29","29","79930","306311","0","6650","0.7930566666925573","0.050337660000000006"
"Apple--11","98.284","25","22","71138","403584","0","5375","0.8501480866696719","0.052006439999999994"
"Apple--12","43.363","18","18","55722","126070","0","4147","0.693484861820102","0.0292572"
"Apple--13","134.08","30","30","198830","326144","0","5761","0.6212574337014786","0.08613084000000001"
"Apple--14","221.935","32","29","182971","189283","0","8242","0.5084780821697014","0.07613867999999999"
"Apple--15","159.368","51","50","371862","303395","0","7032","0.4493030061147089","0.1382007"
"Apple--16","278.412","40","40","278395","331648","0","10759","0.5436469232496726","0.11632818"
"Apple--17","79.867","20","20","75322","152576","0","3058","0.6694924922553072","0.03542076"
"Apple--18","60.173","20","21","46755","161438","0","4748","0.775424726095498","0.029410379999999996"
"Apple--19","127.308","31","31","184102","606775","0","8253","0.7672179112554797","0.10154070000000001"
"Apple--20","185.375","26","25","97702","202752","0","5496","0.6748187742549608","0.04807092000000001"
"Apple--21","34.822","12","12","25021","65755","0","1620","0.7243654710496167","0.013395599999999999"
"Apple--22","52.307","11","13","25585","71424","0","1907","0.7362615839767445","0.014249339999999997"
"Apple--23","135.976","24","22","104061","317312","0","6629","0.753043028385777","0.05821182"
"Apple--24","34.587","14","13","31754","104087","0","2963","0.7662414145950045","0.01932702"
"Apple--25","46.091","19","19","33476","135844","0","3160","0.8022915190172455","0.021985440000000002"
"Apple--26","36.146","15","15","51211","116718","0","1650","0.6950437387229127","0.02434638"
"Apple--27","42.828","11","9","35413","44544","0","1893","0.5570994409495104","0.01556814"
"Apple--28","61.208","13","12","55816","80115","0","3938","0.5893799059817113","0.026277299999999996"
"Apple--29","44.723","11","11","28231","53760","0","1495","0.6556817211645181","0.0134889"
"Apple--30","101.988","29","23","235575","318897","0","8777","0.5751363459291001","0.10033871999999998"
"Apple--31","21.447","7","7","13724","37340","0","937","0.7312392292025693","0.007481999999999999"
"Apple--32","65.129","16","16","38297","129024","0","3791","0.7711165962431494","0.023779739999999997"
"Apple--33","68.743","18","16","82566","145281","0","7438","0.6376252485220345","0.04241226000000001"
"Apple--34","65.183","30","27","139457","359875","0","9974","0.7207128723975231","0.0753984"
"Apple--35","57.499","17","17","88284","160384","0","2167","0.6449724130165522","0.038708639999999996"
"合计","18238.353","2913","2693","23580866","42074889","0","797709","0.640840837181752","10.556003939999998"
